,economic,identity_based,physical,privacy,psychological,reputational,sexual
economic,0,4,11,3,0,3,8
identity_based,4,0,11,1,3,3,8
physical,11,11,0,3,5,5,16
privacy,3,1,3,0,0,1,2
psychological,0,3,5,0,0,2,5
reputational,3,3,5,1,2,0,4
sexual,8,8,16,2,5,4,0
