,economic,identity_based,physical,privacy,psychological,reputational,sexual
economic,0,5,9,1,1,2,9
identity_based,5,0,6,2,3,0,4
physical,9,6,0,5,7,2,17
privacy,1,2,5,0,1,0,1
psychological,1,3,7,1,0,0,2
reputational,2,0,2,0,0,0,2
sexual,9,4,17,1,2,2,0
