,economic,identity_based,physical,privacy,psychological,reputational,sexual
economic,0,4,9,4,1,1,7
identity_based,4,0,7,1,0,0,6
physical,9,7,0,2,1,1,8
privacy,4,1,2,0,0,0,2
psychological,1,0,1,0,0,0,1
reputational,1,0,1,0,0,0,0
sexual,7,6,8,2,1,0,0
