,economic,identity_based,physical,privacy,psychological,reputational,sexual
economic,0,1,3,2,1,1,1
identity_based,1,0,1,0,1,0,0
physical,3,1,0,2,8,2,3
privacy,2,0,2,0,0,1,2
psychological,1,1,8,0,0,0,0
reputational,1,0,2,1,0,0,1
sexual,1,0,3,2,0,1,0
